dataset_name,num_entities,num_relations,num_triples,relation_entity_ratio,gini_coefficient,entropy,avg_relation_freq,cv_relation_freq,top_10_percent_ratio,avg_cooccurrence,graph_density,avg_relation_degree,structure_level,reasoning,mrr_diff,performance_category
NELL995-ht,31731,200,40781,0.006302984463143298,0.5894564870895762,6.6479433084973945,203.905,1.7060119385800203,0.46102351585297074,34.54271356783919,4.050329478923558e-05,203.905,high,Medium Gini coefficient (0.589); High coefficient of variation (1.706); Medium top-10% ratio (0.461); Low relation-entity ratio (0.0063) indicates concentrated relation types,0.013,improved
YAGO310-ht,123182,37,1089040,0.00030036856034160837,0.8318462479227924,2.896688066172932,29433.513513513513,2.69612479760849,0.7260651583045619,26.10810810810811,7.177105486068848e-05,29433.513513513513,high,High Gini coefficient (0.832) indicates concentrated relation distribution; High coefficient of variation (2.696); High top-10% ratio (0.726) indicates long-tail distribution; Low relation-entity ratio (0.0003) indicates concentrated relation types,0.0819999999999999,improved
FB15K237Inductive:v1,2746,9,6040,0.0032774945375091042,0.7369757174392935,1.6062040991214026,671.1111111111111,1.6899068503711825,0.5862582781456953,5.111111111111111,0.0008010061910882491,671.1111111111111,high,High Gini coefficient (0.737) indicates concentrated relation distribution; High coefficient of variation (1.690); Medium top-10% ratio (0.586); Low relation-entity ratio (0.0033) indicates concentrated relation types,0.013,improved
FB15K237Inductive:v2,6954,10,17100,0.0014380212827149843,0.7666081871345027,1.540758685949315,1710.0,1.8700316846030285,0.6026315789473684,5.6,0.0003536117908315535,1710.0,high,High Gini coefficient (0.767) indicates concentrated relation distribution; High coefficient of variation (1.870); High top-10% ratio (0.603) indicates long-tail distribution; Low relation-entity ratio (0.0014) indicates concentrated relation types,0.021,improved
FB15K237Inductive:v3,12078,11,28998,0.0009107468123861566,0.7542651844327823,1.7618412037557547,2636.181818181818,1.8370791058536415,0.5442789157872957,7.454545454545454,0.0001987824298542336,2636.181818181818,high,High Gini coefficient (0.754) indicates concentrated relation distribution; High coefficient of variation (1.837); Medium top-10% ratio (0.544); Low relation-entity ratio (0.0009) indicates concentrated relation types,0.01,improved
FB15K237Inductive:v4,3861,9,8874,0.002331002331002331,0.731400095159392,1.6305392229213784,986.0,1.6882547082080954,0.5868830290736985,5.333333333333333,0.0005952779845553738,986.0,high,High Gini coefficient (0.731) indicates concentrated relation distribution; High coefficient of variation (1.688); Medium top-10% ratio (0.587); Low relation-entity ratio (0.0023) indicates concentrated relation types,0.01,improved
WN18RRInductive:v3,12078,11,28998,0.0009107468123861566,0.7542651844327823,1.7618412037557547,2636.181818181818,1.8370791058536415,0.5442789157872957,7.454545454545454,0.0001987824298542336,2636.181818181818,high,High Gini coefficient (0.754) indicates concentrated relation distribution; High coefficient of variation (1.837); Medium top-10% ratio (0.544); Low relation-entity ratio (0.0009) indicates concentrated relation types,0.023,improved
NELLInductive:v4,3861,9,8874,0.002331002331002331,0.731400095159392,1.6305392229213784,986.0,1.6882547082080954,0.5868830290736985,5.333333333333333,0.0005952779845553738,986.0,high,High Gini coefficient (0.731) indicates concentrated relation distribution; High coefficient of variation (1.688); Medium top-10% ratio (0.587); Low relation-entity ratio (0.0023) indicates concentrated relation types,0.011,improved
ConceptNet 100k-ht,78334,34,102400,0.0004340388592437511,0.6895950137867648,3.8251260584195443,3011.764705882353,1.4548495891995894,0.4271875,28.294117647058822,1.6687810111213112e-05,3011.764705882353,high,Medium Gini coefficient (0.690); High coefficient of variation (1.455); Medium top-10% ratio (0.427); Low relation-entity ratio (0.0004) indicates concentrated relation types,-0.0249999999999999,degraded
WDsinger-ht,8829,5389,20508,0.6103749008947785,0.5845587579290077,10.94763914595653,3.8055297828910746,4.613311166519942,0.5122391261946557,861.5920564216779,0.0002630875369899499,3.8055297828910746,medium,Medium Gini coefficient (0.585); High coefficient of variation (4.613); Medium top-10% ratio (0.512); High relation-entity ratio (0.6104),-0.011,degraded
AristoV4-ht,44949,1605,282567,0.03570713475271975,0.8810710732988898,6.978184710918902,176.05420560747663,8.05709259010641,0.8267773660760103,604.4560747663552,0.00013985608675185648,176.05420560747663,high,High Gini coefficient (0.881) indicates concentrated relation distribution; High coefficient of variation (8.057); High top-10% ratio (0.827) indicates long-tail distribution; Medium relation-entity ratio (0.0357),-0.017,degraded
NELLInductive:v1,2746,9,6040,0.0032774945375091042,0.7369757174392935,1.6062040991214026,671.1111111111111,1.6899068503711825,0.5862582781456953,5.111111111111111,0.0008010061910882491,671.1111111111111,high,High Gini coefficient (0.737) indicates concentrated relation distribution; High coefficient of variation (1.690); Medium top-10% ratio (0.586); Low relation-entity ratio (0.0033) indicates concentrated relation types,-0.016,degraded
NELLInductive:v3,12078,11,28998,0.0009107468123861566,0.7542651844327823,1.7618412037557547,2636.181818181818,1.8370791058536415,0.5442789157872957,7.454545454545454,0.0001987824298542336,2636.181818181818,high,High Gini coefficient (0.754) indicates concentrated relation distribution; High coefficient of variation (1.837); Medium top-10% ratio (0.544); Low relation-entity ratio (0.0009) indicates concentrated relation types,-0.012,degraded
