dataset_name,num_entities,num_relations,num_triples,relation_entity_ratio,gini_coefficient,cv_relation_freq,top_10_percent_ratio,graph_density,avg_relation_degree,entropy,avg_relation_freq,std_relation_freq,structure_level,reasoning,matched_name,mrr_diff,performance_category,semma_mrr
grail/IndWN18RR/v1/raw,2746,9,6040,0.0032774945375091042,0.7369757174392935,1.6899068503711825,0.5862582781456953,0.0008010061910882491,671.1111111111111,1.6062040991214026,671.1111111111111,1134.1152640268824,high,High Gini (0.737); High CV (1.690); Medium top-10% (0.586); Low ratio (0.0033),WN18RRInductive:v1,-0.002,stable,0.724
grail/IndWN18RR/v2/raw,6954,10,17100,0.0014380212827149843,0.7666081871345027,1.8700316846030285,0.6026315789473684,0.0003536117908315535,1710.0,1.540758685949315,1710.0,3197.754180671179,high,High Gini (0.767); High CV (1.870); High top-10% (0.603); Low ratio (0.0014),WN18RRInductive:v2,-0.002,stable,0.704
grail/IndWN18RR/v3/raw,12078,11,28998,0.0009107468123861566,0.7542651844327823,1.8370791058536415,0.5442789157872957,0.0001987824298542336,2636.181818181818,1.7618412037557547,2636.181818181818,4842.874537413081,high,High Gini (0.754); High CV (1.837); Medium top-10% (0.544); Low ratio (0.0009),WN18RRInductive:v3,0.023,significantly_improved,0.441
grail/IndWN18RR/v4/raw,3861,9,8874,0.002331002331002331,0.731400095159392,1.6882547082080954,0.5868830290736985,0.0005952779845553738,986.0,1.6305392229213784,986.0,1664.619142293182,high,High Gini (0.731); High CV (1.688); Medium top-10% (0.587); Low ratio (0.0023),WN18RRInductive:v4,-0.001,stable,0.664
grail/IndFB15k237/v1/raw,1594,180,4734,0.11292346298619825,0.7217973994273108,2.091062325517194,0.6216730038022814,0.001863166296447311,26.3,5.940787443657478,26.3,54.99493916110221,high,High Gini (0.722); High CV (2.091); High top-10% (0.622); High ratio (0.1129),FB15K237Inductive:v1,0.013,significantly_improved,0.486
grail/IndFB15k237/v2/raw,2608,200,10905,0.07668711656441718,0.7175878037597434,1.9582484302221819,0.5990829894543788,0.001603284137528699,54.525,6.156231707119364,54.525,106.77349565786446,medium,High Gini (0.718); High CV (1.958); Medium top-10% (0.599); High ratio (0.0767),FB15K237Inductive:v2,0.021,significantly_improved,0.503
grail/IndFB15k237/v3/raw,3668,215,20180,0.05861504907306434,0.6908451840413026,1.857803858212743,0.5624380574826561,0.0014999007003302458,93.86046511627907,6.390602372248011,93.86046511627907,174.37433422666584,medium,Medium Gini (0.691); High CV (1.858); Medium top-10% (0.562); High ratio (0.0586),FB15K237Inductive:v3,0.01,significantly_improved,0.493
grail/IndFB15k237/v4/raw,4707,219,30555,0.04652644996813257,0.6904874733712469,1.8997450950651467,0.5603665521191294,0.0013790940712766187,139.5205479452055,6.401473826729944,139.5205479452055,265.05347661970575,medium,Medium Gini (0.690); High CV (1.900); Medium top-10% (0.560); Medium ratio (0.0465),FB15K237Inductive:v4,0.01,significantly_improved,0.492
grail/IndNELL/v1/raw,3103,14,5101,0.0045117628101836935,0.5360993642703111,1.0313383766816968,0.2519113899235444,0.0005297753808468077,364.35714285714283,3.0975288241884353,364.35714285714283,375.7755042466668,medium,Medium Gini (0.536); High CV (1.031); Low top-10% (0.252); Low ratio (0.0045),NELLInductive:v1,-0.016,significantly_degraded,0.796
grail/IndNELL/v2/raw,2564,88,9141,0.0343213728549142,0.7998963212698034,2.278474184780776,0.6617437917076906,0.0013904573343620171,103.875,4.502866667529702,103.875,236.67650594410313,high,High Gini (0.800); High CV (2.278); High top-10% (0.662); Medium ratio (0.0343),NELLInductive:v2,-0.007,stable,0.543
grail/IndNELL/v3/raw,4647,142,18244,0.030557348827200344,0.8223865225997511,3.259119873764157,0.7354746766060074,0.0008448404877346934,128.4788732394366,4.817428823079157,128.4788732394366,418.7280491334738,high,High Gini (0.822); High CV (3.259); High top-10% (0.735); Medium ratio (0.0306),NELLInductive:v3,-0.012,significantly_degraded,0.53
grail/IndNELL/v4/raw,2092,76,8422,0.036328871892925434,0.8184579234836082,2.6630995581280206,0.7114699596295416,0.0019243846173531874,110.8157894736842,4.07646786426733,110.8157894736842,295.11347998097614,high,High Gini (0.818); High CV (2.663); High top-10% (0.711); Medium ratio (0.0363),NELLInductive:v4,0.011,significantly_improved,0.495
fb15k237/FB15k-237/raw,14541,237,310116,0.016298741489581183,0.679336704441561,1.8853588558702088,0.5487817461852984,0.001466680860718567,1308.506329113924,6.5544310240343275,1308.506329113924,2467.0039955571547,medium,Medium Gini (0.679); High CV (1.885); Medium top-10% (0.549); Medium ratio (0.0163),FB15K237,-0.001,stable,0.377
wn18rr/raw,40943,11,93003,0.0002686661944654764,0.6667644152241423,1.4831874254188981,0.40021289635818197,5.548015108337467e-05,8454.818181818182,2.2327633094637567,8454.818181818182,12540.080011475799,high,Medium Gini (0.667); High CV (1.483); Medium top-10% (0.400); Low ratio (0.0003),WN18RR,-0.003,stable,0.548
codex-m/raw,17050,51,206205,0.0029912023460410557,0.7676641986296713,2.5529070947745693,0.6025993550107902,0.0007093334250651439,4043.235294117647,3.8001524894898076,4043.235294117647,10322.004068195884,high,High Gini (0.768); High CV (2.553); High top-10% (0.603); Low ratio (0.0030),,,unknown,
aristov4/raw,44949,1605,282567,0.03570713475271975,0.8810710732988898,8.05709259010641,0.8267773660760103,0.00013985608675185648,176.05420560747663,6.978184710918902,176.05420560747663,1418.4850354570704,high,High Gini (0.881); High CV (8.057); High top-10% (0.827); Medium ratio (0.0357),AristoV4-ht,-0.017,significantly_degraded,0.222
codex-s/raw,2034,42,36543,0.02064896755162242,0.7982735277292374,2.3845665365097295,0.6825383794433955,0.008832879398311304,870.0714285714286,3.4020879889325584,870.0714285714286,2074.743212944644,high,High Gini (0.798); High CV (2.385); High top-10% (0.683); Medium ratio (0.0206),,,unknown,
dbp100k/raw,99604,470,697572,0.004718685996546323,0.8743415611425942,3.8130626623710286,0.7937646579851255,7.03129761511503e-05,1484.195744680851,6.049379991037372,1484.195744680851,5659.331377692517,high,High Gini (0.874); High CV (3.813); High top-10% (0.794); Low ratio (0.0047),,,unknown,
codex-l/raw,77951,69,612437,0.0008851714538620415,0.8069772476804653,2.778771064445954,0.6429151080029456,0.00010079013770800779,8875.898550724638,3.994799972917563,8875.898550724638,24664.0900637114,high,High Gini (0.807); High CV (2.779); High top-10% (0.643); Low ratio (0.0009),,,unknown,
