dataset,type,semma_mrr,semma_h10,are_mrr,are_h10,mrr_diff,h10_diff,mrr_improvement_pct,metric_are_effectiveness,metric_performance_stability,metric_improvement_consistency,metric_are_effectiveness_norm,metric_performance_stability_norm,metric_improvement_consistency_norm,structure_score,structure_quantitative,structure_rule_based
FB15K237,Pre-training,0.377,0.574,0.376,0.574,-0.0010000000000000009,0.0,-0.2652519893899207,-0.0005000000000000004,0.9986737400530503,0.5,0.110344827586207,0.9993288437728125,0.0,0.35497106692494723,low,high
WN18RR,Pre-training,0.548,0.656,0.545,0.652,-0.0030000000000000027,-0.0040000000000000036,-0.547445255474453,-0.003500000000000003,0.9942139932348228,1.0,0.10000000000000009,0.9927309742192418,1.0,0.5478192922657725,medium,high
CoDExMedium,Pre-training,0.376,0.529,0.373,0.53,-0.0030000000000000027,0.0010000000000000009,-0.7978723404255326,-0.0010000000000000009,0.9950654587137513,0.5,0.10862068965517252,0.9939906551805865,0.0,0.3525075413817622,low,high
CoDExSmall-ht,Transductive,0.479,0.672,0.485,0.675,0.006000000000000005,0.0030000000000000027,1.2526096033402934,0.004500000000000004,0.9915048091261557,1.0,0.12758620689655184,0.9887229342846574,1.0,0.5604099837336731,high,high
CoDExLarge-ht,Transductive,0.348,0.477,0.346,0.478,-0.0020000000000000018,0.0010000000000000009,-0.5747126436781614,-0.0005000000000000004,0.996078218752259,0.5,0.110344827586207,0.995488959657386,0.0,0.3538191016903193,low,high
NELL995-ht,Transductive,0.442,0.576,0.455,0.586,0.013000000000000012,0.010000000000000009,2.941176470588238,0.01150000000000001,0.9766135620915033,1.0,0.15172413793103462,0.966692422367911,1.0,0.5658697956758907,high,low
DBpedia 100k-ht,Transductive,0.37,0.552,0.379,0.546,0.009000000000000008,-0.006000000000000005,2.4324324324324347,0.0015000000000000013,0.9824030552291422,0.5,0.11724137931034494,0.9752575544393804,0.0,0.3511979559869866,low,medium
ConceptNet 100k-ht,Transductive,0.162,0.308,0.137,0.282,-0.024999999999999994,-0.026000000000000023,-15.432098765432094,-0.02550000000000001,0.8806317139650472,1.0,0.02413793103448283,0.8246942912496343,1.0,0.4594772528921317,low,low
NELL23k-ht,Transductive,0.248,0.426,0.252,0.421,0.0040000000000000036,-0.0050000000000000044,1.6129032258064528,-0.0005000000000000004,0.9860669392700288,0.5,0.110344827586207,0.9806780031658366,0.0,0.3493758147428545,low,low
YAGO310-ht,Transductive,0.393,0.566,0.475,0.654,0.08199999999999996,0.08800000000000008,20.865139949109405,0.08500000000000002,0.8179357843533928,1.0,0.40517241379310365,0.7319402444443609,1.0,0.62216828022986,high,high
Hetionet-ht,Transductive,0.249,0.361,0.25,0.369,0.0010000000000000009,0.008000000000000007,0.40160642570281163,0.004500000000000004,0.9869116354615136,1.0,0.12758620689655184,0.9819276694610258,1.0,0.5583714042865837,high,medium
WDsinger-ht,Transductive,0.368,0.486,0.357,0.487,-0.01100000000000001,0.0010000000000000009,-2.9891304347826115,-0.0050000000000000044,0.9840255412417247,0.5,0.09482758620689664,0.9776579039434733,0.0,0.34071116428649034,low,medium
AristoV4-ht,Transductive,0.222,0.336,0.205,0.325,-0.017000000000000015,-0.01100000000000001,-7.657657657657664,-0.014000000000000012,0.9453426640926641,1.0,0.06379310344827592,0.9204294136751091,1.0,0.5080253758266706,medium,medium
FB15k237_10,Transductive,0.247,0.399,0.248,0.4,0.0010000000000000009,0.0010000000000000009,0.4048582995951421,0.0010000000000000009,0.996722575669944,1.0,0.11551724137931045,0.9964422386353431,1.0,0.5566912922802582,medium,high
FB15K237_20,Transductive,0.264,0.43,0.269,0.433,0.0050000000000000044,0.0030000000000000027,1.8939393939393954,0.0040000000000000036,0.9870419309372798,1.0,0.12586206896551735,0.9821204320970147,1.0,0.5575671641118631,medium,high
FB15K237_50,Transductive,0.308,0.508,0.314,0.51,0.006000000000000005,0.0020000000000000018,1.9480519480519498,0.0040000000000000036,0.9882912363227323,1.0,0.12586206896551735,0.9839686881307653,1.0,0.5581216409219882,medium,high
FB15K237Inductive:v1,Inductive(e),0.486,0.655,0.499,0.656,0.013000000000000012,0.0010000000000000009,2.674897119341566,0.007000000000000006,0.9858621556246663,1.0,0.13620689655172427,0.9803750407256183,1.0,0.5622159604935476,high,high
FB15K237Inductive:v2,Inductive(e),0.503,0.69,0.524,0.71,0.02100000000000002,0.020000000000000018,4.174950298210739,0.020500000000000018,0.9646324948857579,1.0,0.18275862068965534,0.9489673088675241,1.0,0.5760695030050849,high,high
FB15K237Inductive:v3,Inductive(e),0.493,0.651,0.503,0.657,0.010000000000000009,0.006000000000000005,2.0283975659229228,0.008000000000000007,0.9852497172395098,1.0,0.13965517241379324,0.9794689828843196,1.0,0.5636682810721925,high,high
FB15K237Inductive:v4,Inductive(e),0.492,0.676,0.502,0.68,0.010000000000000009,0.0040000000000000036,2.0325203252032535,0.007000000000000006,0.986878818492327,1.0,0.13620689655172427,0.9818791191529784,1.0,0.5626671840217556,high,high
WN18RRInductive:v1,Inductive(e),0.724,0.816,0.722,0.82,-0.0020000000000000018,0.0040000000000000036,-0.27624309392265217,0.0010000000000000009,0.9961678041382298,0.5,0.11551724137931045,0.9956214946901206,0.0,0.3564450690966914,low,high
WN18RRInductive:v2,Inductive(e),0.704,0.803,0.702,0.801,-0.0020000000000000018,-0.0020000000000000018,-0.28409090909090934,-0.0020000000000000018,0.9973342154420921,1.0,0.10517241379310355,0.9973471149870488,1.0,0.5517903413926664,medium,high
WN18RRInductive:v3,Inductive(e),0.441,0.576,0.464,0.598,0.02300000000000002,0.02200000000000002,5.215419501133792,0.02250000000000002,0.9548256802721088,1.0,0.1896551724137933,0.9344588432092377,1.0,0.575165239169668,high,high
WN18RRInductive:v4,Inductive(e),0.664,0.741,0.663,0.747,-0.0010000000000000009,0.006000000000000005,-0.15060240963855434,0.0025000000000000022,0.9951984049558558,0.5,0.12068965517241391,0.9941873394316874,0.0,0.35860102941571315,low,high
NELLInductive:v1,Inductive(e),0.796,0.935,0.78,0.918,-0.016000000000000014,-0.017000000000000015,-2.010050251256283,-0.016500000000000015,0.9808588396528095,1.0,0.0551724137931035,0.9729730003266686,1.0,0.5194781069945522,medium,low
NELLInductive:v2,Inductive(e),0.543,0.729,0.536,0.709,-0.007000000000000006,-0.020000000000000018,-1.2891344383057102,-0.013500000000000012,0.979836906683643,1.0,0.0655172413793104,0.9714611251692054,1.0,0.5241969582404168,medium,low
